latitude,longitude,skor_kecocokan,competitor_500m,restaurant_500m,fastfood_500m,distance_to_university,distance_to_mall,distance_to_primary_road
-6.902412540666889,107.61576606299363,0.9890504105636954,22,40,5,244.15167224340564,485.01757153889713,117.84041861920258
-6.9133010100681345,107.60768729298657,0.9726401686524255,23,29,8,395.8547799206026,423.910340631888,83.9363112214702
-6.894383366917812,107.59673249081729,0.9648461841979611,8,27,4,675.1068223283152,571.0130527424712,43.607518835978695
-6.90248677062797,107.60220235012325,0.9536997164499402,7,29,0,395.4501063413688,621.5837254314059,24.478406191608915
-6.956159026800698,107.7001663794439,0.9443269815882283,20,42,12,1664.577678797131,264.26294975894376,1498.736293505024
-6.894324207333062,107.60758333606105,0.9415258820617822,19,38,16,196.14355850735532,259.8460214440845,384.90850166988366
-6.880710050354577,107.61835970257805,0.9282623265602378,13,30,3,482.9760201795191,1706.7228630082955,232.66382644924198
-6.916071327960754,107.59685082949017,0.9196709973463547,5,22,1,1129.3575111891223,296.4934062704398,32.17297164376211
-6.934899032502054,107.6240839366846,0.90862004822021,5,16,4,728.4042020039496,212.15620285190292,56.64502546386559
-6.915862532240756,107.63483009481718,0.8957893354020149,4,7,2,393.9052735103954,100.74125643517027,39.96139853819891
