competitor_500m,restaurant_500m,fastfood_500m,distance_to_university,distance_to_mall,distance_to_primary_road,target
17,43,16,217.01727202604107,26.521854799675523,152.7498323606133,1
4,10,1,73.82088593934395,2670.63831865404,25.58125199467491,1
27,37,3,520.0565291013036,955.8472285845021,636.4247670342578,1
7,32,0,446.8401249918883,575.8381673025359,27.78589788844891,1
30,39,4,402.3743813642672,882.5032430082664,534.8205055267357,1
15,32,3,728.8186443128882,1195.820636291695,649.2512727208853,1
11,28,5,757.3114066281125,661.5711585312904,175.36793095582,1
16,38,3,459.30907019930544,1662.697361775675,6.578300190237599,1
21,52,11,300.01853274221224,1230.6229537956715,14.473000034832856,1
5,10,1,169.22422318488313,2740.7398328193735,27.666351870550677,1
6,32,3,1286.7803049627983,986.6144860374201,368.74599324832957,1
7,32,3,1257.2306473932867,1018.3455118404752,372.5124426315288,1
27,36,4,495.1260727836575,901.6504240850379,661.7242311306857,1
15,25,2,103.60200693713153,167.9284293492496,14.438031343619205,1
14,30,3,864.5421840113049,1262.736194067299,632.6763155482353,1
21,44,9,180.97470540983863,971.6112942784748,100.91850392581838,1
6,34,8,145.53953277907647,35.57158883842274,45.893748479978285,1
30,39,4,103.96103873863099,655.0794924443343,379.20852390018484,1
24,30,4,547.6868666481745,734.8990938332801,842.9771316926568,1
29,42,3,693.7985534391667,533.1502976232784,79.601944292334,1
10,25,1,619.0827540293398,595.7609087196626,207.2825049469788,1
15,28,1,634.941563786198,591.853499634562,190.0940695501699,1
29,39,5,410.3363216143847,931.0350994264221,470.5880896024572,1
7,18,1,414.41272412573994,917.590853252255,355.0273667923282,1
22,30,4,428.4386254322075,1020.2306881232652,265.5340200781324,1
27,35,5,185.70403207950577,749.8700428347466,377.06012585784134,1
28,38,5,287.2830005602968,854.2247395270826,365.63393940337073,1
0,0,0,2494.126268660164,118.44647806719378,13.44861449307076,1
33,40,5,521.6203665893566,132.53364202643886,8.653181078497184,1
23,55,10,382.8209413565806,230.86058676597168,349.4013279210286,1
16,29,3,243.46119222784296,213.7882453404121,244.03042517358614,1
16,29,4,910.1083016092809,620.0301679355382,11.94028642732613,1
16,24,3,139.7706220501681,283.82572447730325,180.08760415494444,1
14,44,4,364.87183082763954,341.3998746506344,197.89780956518152,1
18,49,4,363.79731759903325,169.8379751941883,18.756494755363562,1
5,2,1,862.4980268448774,922.1802185362039,309.04689684316685,1
9,18,1,462.42307744644177,841.3425434631305,415.8883731002055,1
2,14,1,409.9046346285221,1325.4889100275668,117.24645258335683,1
19,31,1,567.9273984277448,576.7347171988122,96.39377809970448,1
5,25,1,1230.0210840605928,358.23031374854605,33.46764201112772,1
18,34,3,109.4466514962409,184.76306810467057,123.01052818130304,1
17,33,3,97.36951318801707,199.10259857606363,120.63799847211268,1
1,11,0,321.1778366830826,981.3913211972307,11.867329112345544,1
4,12,3,166.81367345424064,521.3476283542458,8.85151747793014,1
3,4,2,360.1828747996149,550.4858694936864,87.30195433835566,1
2,21,2,43.607091656519,532.7647118352769,110.79823595760932,1
1,7,0,427.0826845500677,400.43624372298586,6.558137031361316,1
4,23,1,775.1465275111966,423.9997149904391,207.73509634622474,1
3,24,1,563.0780218950827,546.5696651805758,7.915412159281979,1
